generation: 8700, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 8800, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 8900, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 9000, power_min: 44.43023, power_avg: 44.43023, power_max: 44.43023, util_min: 3.00548, util_avg: 3.00548, util_max: 3.00548
generation: 9100, power_min: 44.43023, power_avg: 44.43491, power_max: 44.89863, util_min: 2.9897, util_avg: 3.00532, util_max: 3.00548
generation: 9200, power_min: 44.43023, power_avg: 44.47239, power_max: 44.89863, util_min: 2.9897, util_avg: 3.00406, util_max: 3.00548
generation: 9300, power_min: 44.43023, power_avg: 44.69722, power_max: 44.89863, util_min: 2.9897, util_avg: 2.99649, util_max: 3.00548
generation: 9400, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 9500, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 9600, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 9700, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 9800, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 9900, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 10000, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 10100, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 10200, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 10300, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 10400, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 10500, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 10600, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 10700, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 10800, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 10900, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 11000, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 11100, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 11200, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 11300, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 11400, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 11500, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 11600, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 11700, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 11800, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 11900, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 12000, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 12100, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 12200, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 12300, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 12400, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 12500, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 12600, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 12700, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 12800, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 12900, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 13000, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 13100, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 13200, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 13300, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 13400, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 13500, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 13600, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 13700, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 13800, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 13900, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 14000, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 14100, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 14200, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 14300, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 14400, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 14500, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 14600, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 14700, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 14800, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 14900, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 15000, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
generation: 15100, power_min: 44.89863, power_avg: 44.89863, power_max: 44.89863, util_min: 2.9897, util_avg: 2.9897, util_max: 2.9897
